ID,City,State,Start_Time,Severity,Start_Lat,Start_Lng,Weather_Condition,Temperature(F),Precipitation(in),Visibility(mi),Humidity(%),Distance(mi)
A-1799782,Nashville,TN,2019-11-05 18:39:09,3,36.08589600000001,-86.699974,Fair,52.0,0.0,10.0,66.0,0.0
A-1678728,Charlotte,NC,2019-12-25 20:54:34,2,35.236759,-80.775627,Mostly Cloudy,48.0,0.0,10.0,66.0,0.0
A-7389252,Duarte,CA,2019-09-17 07:53:00,2,34.1398,-117.955548,Fair,68.0,0.0,9.0,73.0,0.0
A-1766260,Merrick,NY,2019-10-21 07:01:05,2,40.658241,-73.568146,Fair,53.0,0.0,10.0,80.0,0.0
A-1854771,Dallas,TX,2019-09-30 04:02:13,3,32.642078000000005,-96.823334,Fair,76.0,0.0,10.0,79.0,1.5299999713897705
A-1927737,Timmonsville,SC,2019-08-22 12:16:27,2,34.062569,-79.858879,Fair,89.0,0.0,10.0,57.0,0.0
A-7454264,Johnstown,CO,2019-02-26 08:18:49,3,40.35979,-104.98377,Overcast,19.4,,6.0,93.0,0.119
A-2243020,Modesto,CA,2019-03-27 12:26:23,2,37.626090999999995,-120.993233,Overcast,66.0,,10.0,48.0,0.0
A-2319922,Thousand Oaks,CA,2019-01-05 18:41:46,2,34.177437,-118.876221,Heavy Rain,53.6,0.4,1.5,82.0,0.0
A-2081496,Grayslake,IL,2019-05-31 06:55:24,2,42.317059,-88.120712,Fair,61.0,0.0,10.0,87.0,0.0
A-2104381,Tracy,CA,2019-05-15 13:22:38,3,37.752975,-121.351814,Light Rain,63.0,0.06,10.0,84.0,0.0
A-2343857,Phoenix,AZ,2019-01-17 08:57:48,2,33.465931,-112.112846,Scattered Clouds,53.1,,10.0,83.0,0.0
A-7419541,Escondido,CA,2019-09-14 14:01:30,2,33.126639000000004,-117.10841,Fair,81.0,0.0,10.0,58.0,0.011
A-1985890,Dateland,AZ,2019-07-24 06:26:34,3,32.83556,-113.35733,,,,,,0.0
A-1920062,Wilmington,DE,2019-08-19 17:43:35,2,39.745022,-75.564499,Partly Cloudy,87.0,0.0,10.0,72.0,0.0
A-2007445,Sheboygan,WI,2019-08-06 13:12:24,2,43.768429,-87.724518,Partly Cloudy,78.0,0.0,10.0,60.0,0.0
A-2115388,Melissa,TX,2019-05-21 07:59:01,2,33.294926000000004,-96.591217,Light Rain,65.0,0.25,4.0,93.0,0.0
A-2152929,Conway,SC,2019-04-07 15:35:12,2,33.896744,-79.129082,Fair,72.0,0.0,7.0,60.0,0.0
A-2343317,Oklahoma City,OK,2019-01-17 18:43:50,2,35.565681,-97.567169,Clear,37.9,,10.0,86.0,0.0
A-7462114,Agoura Hills,CA,2019-01-12 13:40:48,4,34.13925,-118.71423,Mostly Cloudy,60.1,,10.0,64.0,1.226
A-7774346,Hialeah,FL,2019-08-16 15:33:40,4,25.90097,-80.32434,Thunder,91.0,0.0,10.0,53.0,0.313
A-2359221,Philadelphia,PA,2019-01-25 08:13:40,3,40.005371,-75.197762,Partly Cloudy,33.1,,10.0,66.0,0.0
A-2246958,Tulsa,OK,2019-03-29 09:58:53,2,36.11364,-95.896324,Light Rain,59.0,0.31,5.0,90.0,0.0
A-7391218,Westminster,CA,2019-09-19 17:30:00,2,33.74457,-118.004501,Fair,74.0,0.0,7.0,54.0,0.0
A-2335647,Dallas,TX,2019-01-14 18:23:14,3,32.661488,-96.724854,Clear,42.1,,9.0,65.0,0.0
A-2079365,Cottage Grove,OR,2019-06-29 13:25:36,3,43.711418,-123.21843,Partly Cloudy,77.0,0.0,10.0,36.0,1.0
A-2042836,Bowman,SC,2019-06-10 09:16:53,3,33.318806,-80.547951,Fair,74.0,0.0,10.0,87.0,0.0
A-2211957,Grand Rapids,MI,2019-03-11 17:37:38,2,42.942318,-85.677361,Partly Cloudy,33.1,,10.0,52.0,0.0
A-7434005,Canton,NY,2019-03-28 15:34:42,4,44.588212,-75.129717,Overcast,48.2,,10.0,54.0,0.596
A-1854381,Oak Creek,WI,2019-09-30 06:42:24,2,42.90005900000001,-87.93566899999998,Light Drizzle,64.0,0.0,0.25,96.0,2.220000028610229
A-2173996,West Covina,CA,2019-04-17 10:56:19,2,34.069115000000004,-117.87216200000002,Fair,66.0,,10.0,60.0,0.0
A-1722619,Salt Lake City,UT,2019-12-17 14:38:51,2,40.782127,-111.911057,Fair,33.0,0.0,10.0,43.0,0.0
A-2322957,Palo Alto,CA,2019-01-07 03:52:02,2,37.449729999999995,-122.123039,Scattered Clouds,50.0,,10.0,94.0,0.5799999833106995
A-7399203,Los Angeles,CA,2019-09-26 06:20:00,2,34.027513,-118.274647,Cloudy,73.0,0.0,10.0,68.0,0.004
A-2092159,Salisbury,NC,2019-05-09 17:09:37,3,35.69555300000001,-80.401093,Cloudy,74.0,0.0,10.0,59.0,0.0
